,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA,maxB,minB,xB,pB
0,1.0,1.0,1.0,50.0,0.0,50.0,1.0,5.0,0.0,5.0,1.0
1,1.0,1.0,2.0,50.0,0.0,0.0,0.5,5.0,0.0,5.0,1.0
2,1.0,1.0,3.0,50.0,0.0,0.0,0.3333333333333333,5.0,0.0,5.0,1.0
3,1.0,1.0,4.0,50.0,0.0,0.0,0.25,5.0,0.0,5.0,1.0
4,1.0,1.0,5.0,50.0,0.0,0.0,0.2,5.0,0.0,5.0,1.0
5,1.0,2.0,1.0,50.0,0.0,50.0,1.0,5.0,0.0,5.0,1.0
6,1.0,2.0,2.0,50.0,0.0,0.0,0.5,5.0,0.0,5.0,1.0
7,1.0,2.0,3.0,50.0,0.0,0.0,0.3333333333333333,5.0,0.0,5.0,1.0
8,1.0,2.0,4.0,50.0,0.0,0.0,0.25,5.0,0.0,5.0,1.0
9,1.0,2.0,5.0,50.0,0.0,0.0,0.2,5.0,0.0,5.0,1.0
10,1.0,3.0,1.0,50.0,0.0,50.0,1.0,5.0,0.0,5.0,1.0
11,1.0,3.0,2.0,50.0,0.0,0.0,0.5,5.0,0.0,5.0,1.0
12,1.0,3.0,3.0,50.0,0.0,0.0,0.3333333333333333,5.0,0.0,5.0,1.0
13,1.0,3.0,4.0,50.0,0.0,0.0,0.25,5.0,0.0,5.0,1.0
14,1.0,3.0,5.0,50.0,0.0,0.0,0.2,5.0,0.0,5.0,1.0
