,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,1.0,1.0,1.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
1,,1.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
2,,1.0,1.0,3.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
3,,1.0,1.0,4.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
4,,1.0,1.0,5.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
5,,1.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
6,,1.0,2.0,2.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
7,,1.0,2.0,3.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
8,,1.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
9,,1.0,2.0,5.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
10,,1.0,3.0,1.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
11,,1.0,3.0,2.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
12,,1.0,3.0,3.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
13,,1.0,3.0,4.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
14,,1.0,3.0,5.0,50.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
