,Choice,Gamble_nr,Session_count,Trial_count,maxA,minA,xA,pA1,pA2,maxB,minB,xB,pB1,pB2
0,,4.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
1,,4.0,1.0,2.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
2,,4.0,1.0,3.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
3,,4.0,1.0,4.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
4,,4.0,1.0,5.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
5,,4.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
6,,4.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
7,,4.0,2.0,3.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
8,,4.0,2.0,4.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
9,,4.0,2.0,5.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
10,,4.0,3.0,1.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
11,,4.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
12,,4.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
13,,4.0,3.0,4.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
14,,4.0,3.0,5.0,100.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,0.0
