Gamble_nr,maxA,minA,maxB,nTrials,nSessions
1.0,50.0,0.0,5.0,50,100.0
2.0,50.0,0.0,25.0,50,100.0
3.0,50.0,0.0,45.0,50,100.0
4.0,100.0,0.0,5.0,50,100.0
5.0,100.0,0.0,25.0,50,100.0
6.0,100.0,0.0,50.0,50,100.0
7.0,100.0,0.0,75.0,50,100.0
8.0,100.0,0.0,95.0,50,100.0
9.0,200.0,0.0,2.0,50,100.0
10.0,200.0,0.0,20.0,50,100.0
11.0,200.0,0.0,100.0,50,100.0
12.0,200.0,0.0,180.0,50,100.0
13.0,200.0,0.0,198.0,50,100.0
14.0,400.0,0.0,4.0,50,100.0
15.0,400.0,0.0,396.0,50,100.0
16.0,100.0,50.0,55.0,50,100.0
17.0,100.0,50.0,75.0,50,100.0
18.0,100.0,50.0,95.0,50,100.0
19.0,150.0,50.0,55.0,50,100.0
20.0,150.0,50.0,75.0,50,100.0
21.0,150.0,50.0,100.0,50,100.0
22.0,150.0,50.0,125.0,50,100.0
23.0,150.0,50.0,145.0,50,100.0
24.0,200.0,100.0,105.0,50,100.0
25.0,200.0,100.0,125.0,50,100.0
26.0,200.0,100.0,150.0,50,100.0
27.0,200.0,100.0,175.0,50,100.0
28.0,200.0,100.0,195.0,50,100.0
