A1_x;A1_p;A2_x;B1_x;B1_p;B2_x
50;0.1;0;5;1;0
50;0.5;0;25;1;0
50;0.9;0;45;1;0
100;0.05;0;5;1;0
100;0.25;0;25;1;0
100;0.5;0;50;1;0
100;0.75;0;75;1;0
100;0.95;0;95;1;0
200;0.01;0;2;1;0
200;0.1;0;20;1;0
200;0.5;0;100;1;0
200;0.9;0;180;1;0
200;0.99;0;198;1;0
400;0.01;0;4;1;0
400;0.99;0;396;1;0
100;0.1;50;55;1;0
100;0.5;50;75;1;0
100;0.9;50;95;1;0
150;0.05;50;55;1;0
150;0.25;50;75;1;0
150;0.5;50;100;1;0
150;0.75;50;125;1;0
150;0.95;50;145;1;0
200;0.05;100;105;1;0
200;0.25;100;125;1;0
200;0.5;100;150;1;0
200;0.75;100;175;1;0
200;0.95;100;195;1;0
