Gamble_nr,maxA,minA,maxB,nAgents,nTrials
1,50,0,5,50,100
2,50,0,25,50,100
3,50,0,45,50,100
4,100,0,5,50,100
5,100,0,25,50,100
6,100,0,50,50,100
7,100,0,75,50,100
8,100,0,95,50,100
9,200,0,2,50,100
10,200,0,20,50,100
11,200,0,100,50,100
12,200,0,180,50,100
13,200,0,198,50,100
14,400,0,4,50,100
15,400,0,396,50,100
16,100,50,55,50,100
17,100,50,75,50,100
18,100,50,95,50,100
19,150,50,55,50,100
20,150,50,75,50,100
21,150,50,100,50,100
22,150,50,125,50,100
23,150,50,145,50,100
24,200,100,105,50,100
25,200,100,125,50,100
26,200,100,150,50,100
27,200,100,175,50,100
28,200,100,195,50,100
